declaration,module,kind,is_any_root
ContinuousLinearMap.HasMinMaxLowerBoundEverywhere,ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.FiniteRestriction,inductive,0
ContinuousLinearMap.HasSameApproximationNumbers,ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.SameSequence,def,0
ContinuousLinearMap.Reduces,ForTauCeti.Analysis.InnerProductSpace.ReducingSubspace,def,0
ContinuousLinearMap.Reduces.orthogonalComplement,DavisKahan.Sylvester.Spectrum,theorem,0
ContinuousLinearMap.approximationNumber,ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.Basic,def,0
ContinuousLinearMap.instContinuousFunctionalCalculusRealIsSelfAdjoint,ForTauCeti.Analysis.InnerProductSpace.RealContinuousFunctionalCalculus,theorem,0
ContinuousLinearMap.kyFanGauge,ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.KyFan,def,0
ContinuousLinearMap.modulus,ForTauCeti.Analysis.InnerProductSpace.OperatorModulus,def,0
ContinuousLinearMap.modulusCorestrict,ForTauCeti.Analysis.InnerProductSpace.Polar.PartialIsometry,def,0
ContinuousLinearMap.modulus_apply_mem_polarInitial,ForTauCeti.Analysis.InnerProductSpace.Polar.PartialIsometry,theorem,0
ContinuousLinearMap.polarInitial,ForTauCeti.Analysis.InnerProductSpace.Polar.PartialIsometry,def,0
ContinuousLinearMap.polarPartial,ForTauCeti.Analysis.InnerProductSpace.Polar.PartialIsometry,def,0
ContinuousLinearMap.polarPartialAux,ForTauCeti.Analysis.InnerProductSpace.Polar.PartialIsometry,def,0
DavisKahan1970.IsExactSpectralDecomposition,DavisKahan.Sources.DavisKahan1970.SineTheta.PaperSurface,inductive,0
DavisKahan1970.IsTrialResidual,DavisKahan.Sources.DavisKahan1970.SineTheta.PaperSurface,inductive,0
DavisKahan1970.sinTheta_headline,DavisKahan.Sources.DavisKahan1970.SineTheta.PaperSurface,theorem,1
LinearMap.IsPositive.sqrt,ForTauCeti.Analysis.InnerProductSpace.SelfAdjointFunctionalCalculus,def,0
LinearMap.IsSymmetric.eigenvalues_level_eq_Ico,ForTauCeti.Analysis.InnerProductSpace.EigenblockSpan,theorem,1
LinearMap.IsSymmetric.spanIndices_Ico_eq_eigenspace,ForTauCeti.Analysis.InnerProductSpace.EigenblockSpan,theorem,1
OrthonormalBasis.spanIndices,ForTauCeti.Analysis.InnerProductSpace.BasisSpan,def,0
Submodule.diagonalPart,ForTauCeti.Analysis.InnerProductSpace.Projection.Blocks,def,0
Submodule.directedProjectionGap,ForTauCeti.Analysis.InnerProductSpace.Projection.Gap,def,0
Submodule.offDiagonalPart,ForTauCeti.Analysis.InnerProductSpace.Projection.Blocks,def,0
Submodule.projectionGap,ForTauCeti.Analysis.InnerProductSpace.Projection.Gap,def,0
Submodule.reflectionOperator,ForTauCeti.Analysis.InnerProductSpace.Projection.Blocks,def,0
TauCeti.ApproximationNumber.IsOrthogonalProjectionMap,ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.Core,def,0
TauCeti.ApproximationNumber.StronglyTendsto,ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.Core,def,0
TauCeti.ApproximationNumber.approximationSingularValue,ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.Core,def,0
TauCeti.ApproximationNumber.kyFanApproximationGauge,ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.Core,def,0
TauCeti.BorelCalculus.IsBddMeasurable,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Operator,inductive,0
TauCeti.BorelCalculus.IsBddMeasurable.chooseBound,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Operator,def,0
TauCeti.BorelCalculus.IsBddMeasurable.exists_bound,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Operator,theorem,0
TauCeti.BorelCalculus.borelCalculus,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Operator,def,0
TauCeti.BorelCalculus.borelVector,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Operator,def,0
TauCeti.BorelCalculus.boundedPVM,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,def,0
TauCeti.BorelCalculus.diagFunctional,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.DiagonalMeasure,def,0
TauCeti.BorelCalculus.diagMeasure,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.DiagonalMeasure,def,0
TauCeti.BorelCalculus.inner_specProj_self,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,theorem,0
TauCeti.BorelCalculus.isFiniteMeasure_specDiag,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,theorem,0
TauCeti.BorelCalculus.measurable_reCoord,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,theorem,0
TauCeti.BorelCalculus.norm_borelVector_le,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Operator,theorem,0
TauCeti.BorelCalculus.ofRealLM,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.DiagonalMeasure,def,0
TauCeti.BorelCalculus.pair,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Polarization,def,0
TauCeti.BorelCalculus.pairFunctional,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.Operator,def,0
TauCeti.BorelCalculus.reCoord,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,def,0
TauCeti.BorelCalculus.specDiag,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,def,0
TauCeti.BorelCalculus.specProj,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,def,0
TauCeti.BorelCalculus.specProj_inter,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,theorem,0
TauCeti.BorelCalculus.specProj_univ,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,theorem,0
TauCeti.BorelCalculus.toProjValMeasure,ForTauCeti.Analysis.InnerProductSpace.BorelCalculus.PVM,def,0
TauCeti.DavisKahan.AngleSequenceAmbient,DavisKahan.Geometry.Halmos.AngleSequenceRealization,def,0
TauCeti.DavisKahan.AngleSequenceSpace,DavisKahan.Geometry.Halmos.AngleSequenceRealization,def,0
TauCeti.DavisKahan.DKClosedOperator,DavisKahan.SpectralTheory.ClosedOperator.MathlibBridge,def,0
TauCeti.DavisKahan.ExactSinTheta.ClosedOperatorAmbient,DavisKahan.SinTheta.Unbounded.Core,def,0
TauCeti.DavisKahan.ExactSinTheta.ClosedOperatorComplement,DavisKahan.SinTheta.Unbounded.Core,def,0
TauCeti.DavisKahan.ExactSinTheta.ClosedOperatorComplexification.complexify,DavisKahan.SpectralTheory.ClosedOperator.Complexification,def,0
TauCeti.DavisKahan.ExactSinTheta.ClosedOperatorComplexification.domain,DavisKahan.SpectralTheory.ClosedOperator.Complexification,def,0
TauCeti.DavisKahan.ExactSinTheta.ClosedOperatorComplexification.domainIm,DavisKahan.SpectralTheory.ClosedOperator.Complexification,def,0
TauCeti.DavisKahan.ExactSinTheta.ClosedOperatorComplexification.domainRe,DavisKahan.SpectralTheory.ClosedOperator.Complexification,def,0
TauCeti.DavisKahan.ExactSinTheta.ClosedOperatorComplexification.isSelfAdjoint_complexify,DavisKahan.SpectralTheory.ClosedOperator.Complexification,theorem,0
TauCeti.DavisKahan.ExactSinTheta.ClosedOperatorComplexification.linearMap,DavisKahan.SpectralTheory.ClosedOperator.Complexification,def,0
