module,theory_id,reached_declarations,indexed_declarations_in_module
DavisKahan.BoundedOperator.Compat,dk_result_layer,8,14
DavisKahan.DoubleAngle.TanTwoThetaBranchFree,operator_angle_double_angle,1,9
DavisKahan.DoubleAngle.UnboundedIdeal,operator_angle_double_angle,1,15
DavisKahan.FiniteDimensional.DirectRotation.Basic,direct_rotation_two_projection,3,36
DavisKahan.FiniteDimensional.DirectRotation.ShortRotationCounterexample,direct_rotation_two_projection,3,50
DavisKahan.FiniteDimensional.Residual.AngleEmbeddings,residual_ritz_geometry,1,20
DavisKahan.FiniteDimensional.TanTheta.RitzResidual,residual_ritz_geometry,1,23
DavisKahan.Frontier.Core,dk_result_layer,1,4
DavisKahan.Frontier.Section3,dk_result_layer,17,126
DavisKahan.Frontier.Section3Real,dk_result_layer,1,4
DavisKahan.Frontier.Section8PartII,dk_result_layer,6,22
DavisKahan.Frontier.Section8PartIIReal,dk_result_layer,7,23
DavisKahan.Frontier.Section8Perturbation,dk_result_layer,1,55
DavisKahan.Frontier.Section8SourceDictionary,dk_result_layer,5,26
DavisKahan.Frontier.Section8SourceSurface,dk_result_layer,9,30
DavisKahan.Frontier.Section8SourceTheorem82,dk_result_layer,1,16
DavisKahan.Frontier.Section8SourceTheorem82Real,dk_result_layer,2,18
DavisKahan.Geometry.Angle.BasisAngleEnergy,operator_angle_double_angle,1,16
DavisKahan.Geometry.Angle.OperatorAngleComplex,operator_angle_double_angle,1,66
DavisKahan.Geometry.Angle.PaperDoubleAngle,operator_angle_double_angle,1,8
DavisKahan.Geometry.Angle.PaperOperatorAngle,operator_angle_double_angle,2,23
DavisKahan.Geometry.Angle.PaperOperatorAngleReal,operator_angle_double_angle,4,22
DavisKahan.Geometry.Angle.PaperTanAngle,operator_angle_double_angle,2,15
DavisKahan.Geometry.Angle.Proposition35Infinite,operator_angle_double_angle,6,55
DavisKahan.Geometry.Angle.Proposition35Nonacute,operator_angle_double_angle,2,13
DavisKahan.Geometry.Halmos.AngleSequenceRealization,direct_rotation_two_projection,9,52
DavisKahan.Geometry.Halmos.CompactClassification,direct_rotation_two_projection,1,15
DavisKahan.Geometry.Halmos.GenericPosition,direct_rotation_two_projection,3,56
DavisKahan.Geometry.Halmos.GenericRotationPredicates,direct_rotation_two_projection,2,18
DavisKahan.Geometry.Halmos.Realization,direct_rotation_two_projection,14,120
DavisKahan.Geometry.Halmos.TwoProjections,direct_rotation_two_projection,9,60
DavisKahan.Geometry.Halmos.UnitaryEquivalence,direct_rotation_two_projection,1,2
DavisKahan.Geometry.Polar.DirectRotation,direct_rotation_two_projection,4,86
DavisKahan.Geometry.Polar.DirectRotationReal,direct_rotation_two_projection,3,51
DavisKahan.Geometry.Polar.DirectRotationSquare,direct_rotation_two_projection,1,48
DavisKahan.Geometry.Polar.OperatorAbsoluteValue,direct_rotation_two_projection,1,14
DavisKahan.Geometry.Polar.Section3Nonacute,direct_rotation_two_projection,5,85
DavisKahan.InfiniteDimensional.DoubleAngle,operator_angle_double_angle,2,35
DavisKahan.OperatorIdeal.ApproximationNumbers.ScalarGeneric,operator_ideals_uinorms,5,52
DavisKahan.SinTheta.Bounded.Core,dk_result_layer,2,18
DavisKahan.SinTheta.BoundedPerturbation,dk_result_layer,1,9
DavisKahan.SinTheta.Canonical,dk_result_layer,11,137
