module,theory_id,classification_basis,notes
DavisKahan.BoundedOperator.Compat,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.DoubleAngle.TanTwoThetaBranchFree,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.DoubleAngle.UnboundedIdeal,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.FiniteDimensional.DirectRotation.Basic,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.FiniteDimensional.DirectRotation.ShortRotationCounterexample,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.FiniteDimensional.Residual.AngleEmbeddings,residual_ritz_geometry,human-reviewed exact module assignment,
DavisKahan.FiniteDimensional.TanTheta.RitzResidual,residual_ritz_geometry,human-reviewed exact module assignment,
DavisKahan.Frontier.Core,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Frontier.Section3,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Frontier.Section3Real,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Frontier.Section8PartII,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Frontier.Section8PartIIReal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Frontier.Section8Perturbation,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Frontier.Section8SourceDictionary,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Frontier.Section8SourceSurface,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Frontier.Section8SourceTheorem82,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Frontier.Section8SourceTheorem82Real,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Geometry.Angle.BasisAngleEnergy,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.Geometry.Angle.OperatorAngleComplex,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.Geometry.Angle.PaperDoubleAngle,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.Geometry.Angle.PaperOperatorAngle,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.Geometry.Angle.PaperOperatorAngleReal,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.Geometry.Angle.PaperTanAngle,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.Geometry.Angle.Proposition35Infinite,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.Geometry.Angle.Proposition35Nonacute,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.Geometry.Halmos.AngleSequenceRealization,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Halmos.CompactClassification,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Halmos.GenericPosition,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Halmos.GenericRotationPredicates,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Halmos.Realization,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Halmos.TwoProjections,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Halmos.UnitaryEquivalence,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Polar.DirectRotation,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Polar.DirectRotationReal,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Polar.DirectRotationSquare,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Polar.OperatorAbsoluteValue,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.Geometry.Polar.Section3Nonacute,direct_rotation_two_projection,human-reviewed exact module assignment,
DavisKahan.InfiniteDimensional.DoubleAngle,operator_angle_double_angle,human-reviewed exact module assignment,
DavisKahan.OperatorIdeal.ApproximationNumbers.ScalarGeneric,operator_ideals_uinorms,human-reviewed exact module assignment,
DavisKahan.SinTheta.Bounded.Core,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.SinTheta.BoundedPerturbation,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.SinTheta.Canonical,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.SinTheta.FrameFactorization,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.SinTheta.FrameFactorizationGeneric,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.SinTheta.Real.FrameFactorization,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.SinTheta.Real.Generalized,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.SinTheta.Unbounded.Core,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.AmbientBlockVocabulary,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Directed,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.DirectedReal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.DirectedUnboundedReal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.FullPartIII,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.FullSineTheta,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.GeneralSinTheta,dk_result_layer,human-reviewed exact module assignment,
