corpus,source_id,declaration,min_distance,is_root
DK1970,DK-3.1-cor,ContinuousLinearMap.approximationNumber,2,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.AngleSequenceAmbient,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.AngleSequenceSpace,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.Frontier.PairOfSubspacesUnitaryEquivalent,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.Frontier.Section3.SameHalmosTrivialDimensions,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.Frontier.Section3.compactAngleEigenvalueList,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.Frontier.Section3.corollary3_1_compact_classification_real,0,1
DK1970,DK-3.1-cor,TauCeti.DavisKahan.Frontier.Section3.corollary3_1_compact_defectBlock_angleList_classification,0,1
DK1970,DK-3.1-cor,TauCeti.DavisKahan.Frontier.Section3.corollary3_1_realization,0,1
DK1970,DK-3.1-cor,TauCeti.DavisKahan.HalmosAngleDatum,2,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.HalmosAngleDatum.cos₀,3,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.HalmosAngleDatum.instCompleteSpaceSubtypeWithLpOfNatENNRealProdMemSubmoduleTargetSubspace,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.HalmosAngleDatum.intertwiner,3,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.HalmosAngleDatum.mk,2,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.HalmosAngleDatum.realizingIsometry,2,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.HalmosAngleDatum.sin₀,3,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.HalmosAngleDatum.targetSubspace,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.SameCompactAngleData,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.angleCosOp,2,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.angleCosSeq,3,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.angleSequenceDatum,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.angleSinOp,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.angleSinSeq,2,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.genericCosineBlock,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.genericLeftHalf,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.halmosCommonPart,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.halmosExteriorPart,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.halmosGenericPart,2,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.halmosSourceDefect,4,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.halmosTargetDefect,4,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.halmosTrivialPart,3,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.instCompleteSpaceGenericLeftHalf,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.instCompleteSpaceSubtypeWithLpOfNatENNRealProdMemSubmoduleSourceSubspace,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.modelInl,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.modelInr,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.norm_angleCosSeq_le,3,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.norm_angleSinSeq_le,2,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.projection,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahan.sourceSubspace,1,0
DK1970,DK-3.1-cor,TauCeti.DavisKahanExt.compressOperator,2,0
DK1970,DK-3.1-cor,TauCeti.diagCoord,3,0
DK1970,DK-3.1-cor,TauCeti.diagOpLp,2,0
DK1970,DK-3.1-prop,ContinuousLinearMap.modulus,6,0
DK1970,DK-3.1-prop,ContinuousLinearMap.modulusCorestrict,6,0
DK1970,DK-3.1-prop,ContinuousLinearMap.modulus_apply_mem_polarInitial,7,0
DK1970,DK-3.1-prop,ContinuousLinearMap.polarInitial,5,0
DK1970,DK-3.1-prop,ContinuousLinearMap.polarPartial,4,0
DK1970,DK-3.1-prop,ContinuousLinearMap.polarPartialAux,5,0
DK1970,DK-3.1-prop,TauCeti.DavisKahan.complementaryProjection,4,0
DK1970,DK-3.1-prop,TauCeti.DavisKahan.projection,4,0
DK1970,DK-3.1-prop,TauCeti.DavisKahan.spectraCanonicalIntertwiner,3,0
DK1970,DK-3.1-prop,TauCeti.DavisKahan.spectraCanonicalPolarFactor,2,0
DK1970,DK-3.1-prop,TauCeti.DavisKahan.spectraPolarIsometry,3,0
DK1970,DK-3.1-prop,TauCeti.DavisKahan1970.acute_directRotation,1,0
DK1970,DK-3.1-prop,TauCeti.DavisKahan1970.proposition3_1_source,0,1
DK1970,DK-3.1-prop,TauCeti.IsAcute,1,0
DK1970,DK-3.1-thm,TauCeti.DavisKahan.Frontier.PairOfSubspacesUnitaryEquivalent,1,0
DK1970,DK-3.1-thm,TauCeti.DavisKahan.Frontier.SameSpectralMultiplicity,1,0
DK1970,DK-3.1-thm,TauCeti.DavisKahan.Frontier.Section3.SameHalmosTrivialDimensions,1,0
DK1970,DK-3.1-thm,TauCeti.DavisKahan.Frontier.Section3.theorem3_1_realization,0,1
DK1970,DK-3.1-thm,TauCeti.DavisKahan.Frontier.Section3.theorem3_1_spectralMultiplicity_classification,0,1
DK1970,DK-3.1-thm,TauCeti.DavisKahan.Frontier.Section3.theorem3_1_spectralMultiplicity_classification_real,0,1
DK1970,DK-3.1-thm,TauCeti.DavisKahan.HalmosAngleDatum,1,0
DK1970,DK-3.1-thm,TauCeti.DavisKahan.HalmosAngleDatum.cos₀,1,0
DK1970,DK-3.1-thm,TauCeti.DavisKahan.HalmosAngleDatum.cos₁,1,0
DK1970,DK-3.1-thm,TauCeti.DavisKahan.HalmosAngleDatum.instCompleteSpaceSubtypeWithLpOfNatENNRealProdMemSubmoduleTargetSubspace,1,0
