corpus,source_id,theory_id,declaration,module,min_distance,is_root
DK1970,DK-3.1-cor,operator_ideals_uinorms,ContinuousLinearMap.approximationNumber,ForTauCeti.Analysis.OperatorIdeal.ApproximationNumber.Basic,2,0
DK1970,DK-3.1-cor,direct_rotation_two_projection,TauCeti.DavisKahan.AngleSequenceAmbient,DavisKahan.Geometry.Halmos.AngleSequenceRealization,1,0
DK1970,DK-3.1-cor,direct_rotation_two_projection,TauCeti.DavisKahan.AngleSequenceSpace,DavisKahan.Geometry.Halmos.AngleSequenceRealization,1,0
DK1970,DK-3.1-cor,direct_rotation_two_projection,TauCeti.DavisKahan.Frontier.PairOfSubspacesUnitaryEquivalent,DavisKahan.Geometry.Halmos.UnitaryEquivalence,1,0
DK1970,DK-3.1-cor,dk_result_layer,TauCeti.DavisKahan.Frontier.Section3.SameHalmosTrivialDimensions,DavisKahan.Frontier.Section3,1,0
DK1970,DK-3.1-cor,dk_result_layer,TauCeti.DavisKahan.Frontier.Section3.compactAngleEigenvalueList,DavisKahan.Frontier.Section3,1,0
DK1970,DK-3.1-cor,dk_result_layer,TauCeti.DavisKahan.Frontier.Section3.corollary3_1_compact_classification_real,DavisKahan.Frontier.Section3,0,1
DK1970,DK-3.1-cor,dk_result_layer,TauCeti.DavisKahan.Frontier.Section3.corollary3_1_compact_defectBlock_angleList_classification,DavisKahan.Frontier.Section3,0,1
DK1970,DK-3.1-cor,dk_result_layer,TauCeti.DavisKahan.Frontier.Section3.corollary3_1_realization,DavisKahan.Frontier.Section3,0,1
DK1970,DK-3.1-cor,direct_rotation_two_projection,TauCeti.DavisKahan.HalmosAngleDatum,DavisKahan.Geometry.Halmos.Realization,2,0
DK1970,DK-3.1-cor,direct_rotation_two_projection,TauCeti.DavisKahan.HalmosAngleDatum.cos₀,DavisKahan.Geometry.Halmos.Realization,3,0
