category,prompts,share
other,121,0.1697054698457223
coordination,93,0.13043478260869565
ferry_relay,85,0.11921458625525946
status_query,85,0.11921458625525946
task_direct,61,0.08555399719495091
correction_redirect,57,0.07994389901823282
throughput_nudge,44,0.061711079943899017
paper_editorial,42,0.05890603085553997
decision_answer,22,0.030855539971949508
priority_scope,19,0.02664796633941094
context_supply,18,0.025245441795231416
compile_cycle,18,0.025245441795231416
env_infra,13,0.0182328190743338
quality_gate,12,0.016830294530154277
ferry_compose,10,0.014025245441795231
session_lifecycle,10,0.014025245441795231
error_paste,2,0.002805049088359046
task_spec,1,0.001402524544179523
