commit,ledger_rows,turns,input_tokens,cache_write_tokens,cache_read_tokens,output_tokens,billable_input_tokens
519c4c62221beec113131d9396a7008db1abf0c7,1,3,6,11474,1340066,8026,1351546
47b5b7ec4aa63be1a124ba6276614b3f1e3439d9,1,11,22,22507,6319573,15364,6342102
93745e86a8d64ef923cf5c811b38a859f2664e07,1,6,12,12988,4021977,8085,4034977
e127af0e317894cb743c9b56e65e85b2642c5e52,1,8,16,699455,4973993,19444,5673464
2be3a7fa30ff97b3302555427a4eae940305f4eb,1,2,3,2285,1093119,1415,1095407
125e618b772dbd1800fbd6d1b85133d5c54cf2b0,1,20,37,43968,4647862,29396,4691867
e75a2da91690b5f7b68bd53db8bb98ccfa233606,1,27,50,36185,5323038,22963,5359273
0799801a4655d2e2478399bfbd46f572521fff9e,1,1,2,1239,835771,1192,837012
c71ae6177de22d6ff586f34fc5ea91f1d052e3b7,1,129,258,403929,30189409,169729,30593596
2be1a40e112d33de778939f9194a35b5905a295a,1,57,114,293571,12968167,90040,13261852
